id;jobnumber;vehicleid;vehiclenumber;millage;nextmillage;nextservicedate;vehicletypeid;jobtypeid;jobtypename;jobopenby;jobopentime;lmu;lmd;specialrquirments;specialinstructions;remarks;nextserviceinstructions;lastserviceinstructions;isadvisorchecked;isempallocated;jobclosetime;isjobclose;isfeedback;feedbackstatusid;customername;customertel;customerid;advisorfinalcheck;jobdate;iscompanyservice;freeservicenumber;companyid;updatetocustomer;nextgearoilmilage;isjobinvoiced;iswaiting;iscustomercomment;imagefolder;frontimage;leftimage;rightimage;backimage;dashboardimage
1;30995;10500;cockpit;29788.46;15011.08;2024-08-19;32743;3168;blanket meanwhile inspector;22782;2024-08-20T01:06:57;20029;2024-08-20T04:14:24;justly shakily denude;recent;jiggle blog;hm and bah;anti supposing barrel;true;false;2024-08-20T01:39:10;false;false;29432;commonly because;dangerous nor;11265;true;2024-08-19T06:55:07;true;tasty for triangular;9344;true;poverty ouch hence;true;true;true;versus;sigh between uh-huh;peak after outgoing;disarrange;quarry quilt belfry;tight across closely
2;19660;5955;up;2537.55;22163.29;2024-08-19;22658;14295;not;29155;2024-08-19T23:23:30;215;2024-08-19T15:29:37;lashes;flower duh briefly;intermesh thousand;quart;pension hit;false;false;2024-08-19T21:04:56;false;false;15852;untrue;patiently dimension philosophize;27042;false;2024-08-19T15:42:50;false;while diagnose finally;16810;true;task;true;false;true;opposite;fuel obnoxiously in;differential;gladly madly;short hourly rabbit;even frustrate retest
3;13272;30633;brr;27946.99;5451.85;2024-08-19;5545;1076;who;19710;2024-08-19T15:11:49;18349;2024-08-19T18:06:26;upside-down confirmation;muscle criteria beggar;better failing;which between;suffer youthfully;false;true;2024-08-19T07:23:46;false;true;2746;around hurdler clothe;frozen;23599;true;2024-08-20T05:07:06;false;retire;2002;false;through;true;false;true;boohoo imaginary;zip yum because;ew lumbering aside;misread um speculate;inasmuch;yum
4;29296;8932;after hot during;4988.54;2222.54;2024-08-20;5627;7476;bah sophisticated;29067;2024-08-20T02:13:33;7488;2024-08-19T20:42:13;colorless why;shakily ultimately;encirclement defiantly;supposing smirk pish;despite apropos edible;true;true;2024-08-19T07:00:40;false;false;25929;for function;furthermore zowie weary;1532;true;2024-08-19T14:59:32;false;ouch robin medical;4080;true;what;false;true;false;bravely mockingly;atone though forgery;how doll;yesterday;opt corporation;serious
5;10970;29205;overawe yum;19116.39;20366.72;2024-08-19;5499;29171;tight prod eek;7222;2024-08-19T20:40:17;7993;2024-08-19T18:43:42;above computerize;lumber supposing apud;attentive;of;gregarious emotional;false;true;2024-08-19T12:18:50;true;true;8287;sauce likely;kick-off geez sheepishly;15758;false;2024-08-20T02:48:33;false;harmless unfortunately;11383;false;now inasmuch gosh;true;true;true;usually;partially forked;wherever receiver;however sweet;fencing huzzah obedience;at concerning
6;12406;20954;path furiously;17052.68;18977.36;2024-08-19;18810;16080;which happily oppress;13996;2024-08-19T16:56:25;17515;2024-08-20T00:17:56;forenenst ick sticker;infatuated however;over;bonsai;where including;false;false;2024-08-20T02:45:29;true;false;3778;grandiose;without shoemaker yum;29153;false;2024-08-19T23:35:05;false;alert foolishly how;14136;false;since separate unless;false;false;false;ack apud sans;duh;microlending ack;via asterisk gee;for but;meanwhile tedious
7;9191;549;transplant unless after;27583.05;8962.05;2024-08-19;31686;6708;boo;13757;2024-08-19T15:51:34;30609;2024-08-20T03:12:14;greedily;selfishly whether tensely;dress following;warfare controvert;ew vegetarian;true;true;2024-08-19T07:58:56;true;true;10945;estimate stable;arrow dissipate merrily;294;true;2024-08-19T12:38:10;false;doctor below;25875;false;zowie cold;false;true;false;authorized murky rocker;brr tug parched;bury inasmuch now;verifiable moccasins;whoa;against
8;24958;686;yippee;29655.35;26989.2;2024-08-19;11968;18140;till;25809;2024-08-20T00:17:58;18345;2024-08-19T13:00:45;undersell concerning;um fumble;throughout;hydraulics;apud huzzah;true;true;2024-08-19T21:43:17;false;false;23996;sightsee boohoo hence;out kindheartedly at;23450;false;2024-08-19T10:14:02;false;sniveling phase;18477;true;infringe wonderful;true;true;false;eek conform;meh promptly;hence disposer beneath;except;interestingly whether;or before um
9;6281;10431;tricky sole gauntlet;18529;32536.71;2024-08-19;16392;7681;beyond sinuosity;15849;2024-08-19T12:05:35;11101;2024-08-20T06:28:17;supposing;although babysit beautiful;gee wetland marines;following very intently;phew abaft cruel;false;true;2024-08-19T17:41:50;true;true;13383;rotation boohoo dusk;loneliness;25113;false;2024-08-19T14:58:45;false;wooden qualified difficult;26210;false;separately possible;false;false;false;daunt unused bah;which;cool;including;card sick;transcript yuck righteously
10;17714;12952;repulsive assert;4702.09;12049.28;2024-08-19;10225;22102;outside;7459;2024-08-19T15:20:19;12018;2024-08-19T11:30:23;disastrous annually that;mid;shower bestride;whenever not while;um aha wonderful;true;false;2024-08-19T10:42:20;false;false;23847;bulky chart;duh outside;16505;true;2024-08-20T03:14:09;true;after accidentally;22548;false;incidentally;true;true;false;thoughtful without chilly;lest;provided;as drat sad;dead by uh-huh;throughout outside
