id;jobid;categoryid;empposition;empid;empname;allocatetime;lmu;lmd;jobdate;commission;iscommissionpaid;starttime;endtime
1;14578;11677;23017;20200;wherever bah furiously;2024-08-25T14:35:46;11456;2024-08-25T18:02:56;2024-08-25T09:58:29;2446.43;false;2024-08-26T01:38:56;2024-08-25T13:13:31
2;6121;25554;6994;13394;arid supposing;2024-08-25T09:26:53;11033;2024-08-25T11:01:35;2024-08-25T16:34:16;13196.9;false;2024-08-25T15:24:59;2024-08-25T14:09:54
3;9480;4659;25055;29413;off given;2024-08-25T18:33:22;11208;2024-08-25T08:39:51;2024-08-25T22:39:40;13527.17;false;2024-08-26T02:08:20;2024-08-25T20:46:32
4;6981;6995;31461;13573;yum;2024-08-25T07:27:35;1877;2024-08-26T03:32:09;2024-08-25T15:29:29;7450.3;true;2024-08-25T12:58:32;2024-08-26T04:09:39
5;16547;26750;10471;11310;pish lest;2024-08-25T13:30:48;28929;2024-08-25T15:16:37;2024-08-25T19:50:51;7192.85;true;2024-08-25T20:00:19;2024-08-25T08:04:56
6;4348;23959;7747;10141;worldly pfft outside;2024-08-25T23:20:01;23514;2024-08-25T10:12:04;2024-08-25T23:22:51;5008.09;true;2024-08-26T03:25:33;2024-08-25T20:29:19
7;15926;7344;12350;25668;really ah yuck;2024-08-25T17:38:21;2451;2024-08-25T15:50:55;2024-08-26T02:15:51;15979.47;true;2024-08-25T07:55:48;2024-08-25T06:37:46
8;25347;13016;23490;31008;upwardly;2024-08-25T05:26:43;10110;2024-08-25T20:28:40;2024-08-25T07:43:01;17840.53;true;2024-08-25T11:33:06;2024-08-26T01:59:39
9;13616;2048;349;28802;yippee;2024-08-25T15:44:03;14485;2024-08-26T00:36:08;2024-08-25T19:34:24;20210.78;true;2024-08-25T20:52:33;2024-08-26T00:56:51
10;20771;18394;32430;19515;resound original;2024-08-25T05:58:45;24375;2024-08-25T06:55:57;2024-08-25T09:22:37;31337.76;false;2024-08-26T01:00:51;2024-08-25T22:58:14
