id;code;invoicedate;createddate;jobid;quoteid;orderid;delieverydate;autojobsrepid;autojobsrepname;delieverfrom;customerid;customername;customeraddress;deliveryaddress;subtotal;totaltax;totaldiscount;nettotal;message;lmu;lmd;paidamount;amountowing;isactive;locationid;locationcode;referencecode;createdbyid;createdbyname;autocarecompanyid
1;incidentally dry cricket;2024-10-03T22:20:03;2024-10-03T16:19:41;25023;7856;13415;2024-10-03T21:13:27;7700;similar mmm far;ack;5235;barring;bold;save;29127.57;15123.71;25118.59;13506.54;sometimes commercialise convulse;5435;2024-10-04T03:08:42;28768.94;24556.02;false;22615;meh;pare;14304;ha floodplain duh;10445
2;yippee;2024-10-04T07:27:14;2024-10-03T20:47:38;31004;28690;18424;2024-10-03T11:38:03;28520;bottling apprehensive;near;20176;than whenever;incidentally surprisingly;as;32720.58;29315.45;2698.51;21646.12;mechanically;15077;2024-10-03T12:40:49;22035.64;23431.38;true;24722;consequently;ick;11609;soften;12995
3;waist fairly;2024-10-03T13:49:24;2024-10-03T12:24:40;11991;11322;10163;2024-10-04T02:22:02;28324;questioner when hook;until;31734;gee;enormously helplessly sushi;bait duh likewise;2418.16;28581.6;21091.29;21691.35;against as;1592;2024-10-03T16:02:27;11094.95;31269.23;false;29450;why modulo;impartial;329;serpentine;9011
4;sinful toward unfortunately;2024-10-03T19:34:28;2024-10-04T01:20:49;16971;24006;30846;2024-10-03T22:21:02;5552;frightening up with;calmly uh-huh;28103;sentence dot;plus passionate;broker;8988.82;3623.78;26571.52;23716.97;mortally;2799;2024-10-03T10:16:07;10393.66;25979.52;false;9592;recharge caricature;plus maracas;5550;indict indolent oof;17883
5;throughout with lest;2024-10-03T19:11:33;2024-10-04T06:23:08;20175;9078;18489;2024-10-04T07:31:34;5005;modulo black qua;misappropriate ha;31699;officially whoa excluding;villainous;at hence pirate;26068.75;15829.74;10739.38;11452.85;whose;13673;2024-10-04T02:20:20;9568.54;5531.17;true;18859;geez fooey blah;yippee crawdad;8243;likewise;30770
6;relate blah kindly;2024-10-03T23:29:36;2024-10-03T23:44:30;9456;12479;4000;2024-10-03T09:30:04;18103;revitalization;marker irritably;24043;gadzooks;morale deplore from;yawningly frigate space;32119.79;29910.63;20377.43;12912.8;who vinyl below;10011;2024-10-03T14:44:34;22700.28;8518.68;true;18617;insistent;intently;5362;how inasmuch known;9781
7;than slide kind;2024-10-04T02:14:30;2024-10-04T02:10:23;27198;13718;25384;2024-10-03T08:46:38;28026;ping skinny greatly;brown versus;5131;meanwhile;nurture between;triumph than honest;21746.91;8465.78;24225.18;6720.12;interrelate;26983;2024-10-03T12:48:11;1427.33;22431.94;false;29674;owlishly eek;notwithstanding even circa;5446;woefully heavenly descriptive;14702
8;anenst conference;2024-10-04T06:26:21;2024-10-03T11:29:02;17615;13495;32037;2024-10-04T01:26:15;31810;caption;thoughtfully cavil;31741;carelessly;oddball;theorize straw um;15597.11;24874.91;2157.15;20217.92;ha sham round;26589;2024-10-03T12:48:56;11385.81;3652.03;false;26550;under serene flippant;ack given;30123;because entrench;21238
9;yellow;2024-10-03T15:12:06;2024-10-04T01:52:22;8670;3322;15313;2024-10-03T18:07:01;20091;unbearably strudel;gee slot nutrition;5085;how;uh-huh consequently;mockingly;13106.25;6047.9;189.34;13180.46;shield;17732;2024-10-03T12:55:23;6842.54;12727.82;false;12185;zowie;oof rarely;20895;vineyard;5691
10;or oh between;2024-10-03T11:24:14;2024-10-03T13:00:35;30220;3582;26473;2024-10-03T21:21:32;20060;taper;aha proud;16342;as;than julienne swift;along;17445.93;9189.49;19499.55;1282.35;cormorant paste;32284;2024-10-03T13:27:49;12287.5;8050.13;true;15386;wash doubtfully till;whether the combine;27425;hornet programme above;19619
