id;code;receiptdate;customername;customeraddress;totalamount;totalamountinword;comments;lmu;lmd;termid;term;date;amount;checkdate;checkno;bank;customerid;isactive;deposited;createdby
1;boo forfeit legal;2024-10-03T01:21:49;um;settlement;1514.29;ready that;counter taunt adoption;31393;2024-10-02T13:53:24;21816;lest bankbook enrage;2024-10-02T21:03:16;21454;2024-10-02T16:13:05;distributor alienated;although;32119;false;false;31657
2;major musculature;2024-10-03T12:52:50;slapstick down;boo mmm;7877.86;per abandoned;timely mmm safely;12321;2024-10-03T04:41:21;22707;safari;2024-10-03T06:56:27;26337.23;2024-10-02T14:22:43;gasp chess;kissingly so;26326;true;false;8188
3;indeed lazy;2024-10-03T11:42:05;glitter ripe;shadowy instil beneath;31643.12;once dragonfly darling;conception frizzy;11855;2024-10-03T09:18:10;5282;immediately pretty zowie;2024-10-02T13:28:40;22237.46;2024-10-03T03:38:33;out prizefight jeopardize;whose nor;28535;true;false;18045
4;trained initialize;2024-10-02T23:59:32;powerfully;ikebana;17381.72;brr;serpentine by creditor;12794;2024-10-03T02:48:23;25989;even heater near;2024-10-02T23:59:49;17305.64;2024-10-02T15:23:32;uh-huh for uh-huh;finally subscribe behind;14161;false;true;14306
5;mmm;2024-10-02T23:11:28;jaded desegregate hm;share yuck;21595.18;ugh;portion;5732;2024-10-03T09:46:03;23619;and;2024-10-02T21:47:53;26150.08;2024-10-03T08:25:24;vivaciously via;however evil;15881;false;true;14305
6;if whoa reckon;2024-10-03T02:33:43;what regarding;enlightened till gadzooks;28879.82;gadzooks;airplane weakly;2547;2024-10-03T09:41:32;19800;blindly;2024-10-02T14:54:56;133.62;2024-10-03T08:08:40;since century;alarm wherever yippee;8509;true;false;28808
7;laud talent;2024-10-02T21:11:28;furthermore;gosh;24949.51;woot;doughnut;24866;2024-10-02T15:27:39;26447;marketer;2024-10-03T11:53:58;9165.95;2024-10-03T12:54:09;lightscreen even;against um round;6055;true;true;18105
8;or um;2024-10-03T10:33:22;advanced;including;2492.71;between cross;suppurate jubilant elm;14420;2024-10-03T00:18:16;27683;chromakey whoever even;2024-10-02T21:41:59;28051.62;2024-10-03T08:33:24;at repair ick;moist phew a;17520;true;true;32488
9;sweet;2024-10-02T16:30:15;beech unfortunately;for;6854.15;founder from wherever;gadzooks;16150;2024-10-03T05:21:42;16694;curse scout;2024-10-03T07:03:58;16795;2024-10-03T07:49:21;ack so until;zowie lined;5857;true;false;10151
10;gah hourly;2024-10-02T18:02:32;elated drat;inwardly ick;4798.07;upon checkbook beyond;intentional poll;11997;2024-10-03T04:50:49;23709;via briskly meh;2024-10-02T15:23:34;30341.95;2024-10-03T03:36:21;tab underneath;neighboring;30601;false;false;30285
