id;code;invoicedate;createddate;quoteid;orderid;delieverydate;salesrepid;salesrepname;delieverfrom;customerid;customername;customeraddress;deliveryaddress;subtotal;totaltax;totaldiscount;nettotal;message;lmu;lmd;paidamount;amountowing;isactive;locationid;locationcode;referencecode;createdbyid;createdbyname;autocarecharges;autocarejobid;vehicleno;nextmeter;currentmeter;remarks;hasdummybill;dummybillid;dummybillamount;dummycommision;isserviceinvoice;nbtamount;vatamount;autocarecompanyid;iscompanyinvoice;invcanceldate;invcancelby;isvatinvoice;paymenttype;pendingamount;advancepayment;discountcode
1;during owlishly nimble;2024-10-02T11:34:42;2024-10-02T20:29:29;3652;30611;2024-10-03T06:05:16;1039;besides until bawl;welcome;31323;boohoo refloat;flat barring marionberry;loathsome phooey;2120.86;28250.63;17766.06;28579.56;as substantial;8672;2024-10-02T14:34:00;2093.72;28384.54;false;18095;whoever hmph oddball;thoroughly for needily;14810;unless hmph speculate;1919.44;31752;continually meh;something eek mmm;subtract opposite cement;unto times;true;12527;24359.85;28280.16;true;1039.58;24089.12;23944;true;2024-10-02T20:18:58;11872;true;silent ick how;12833.39;12979.47;round
2;phooey during hollow;2024-10-03T06:52:16;2024-10-02T22:14:56;30116;25961;2024-10-02T07:32:46;5993;immure;quaint whack;707;clank;engage discontinue;alongside fondue;23775.5;17401.03;23880.96;24154.15;eager;25578;2024-10-02T10:12:48;22061.69;10343.38;true;10500;what finished pussyfoot;legal;5226;helplessly;8626.5;6234;whereas solemnly meanwhile;harden late;wherever sandblast;ideal whoever;false;972;4880.07;9075.99;true;13298.21;11675.48;23996;true;2024-10-02T20:42:15;8426;true;besides;30857.8;27516.33;when so metronome
3;acidly er even;2024-10-03T06:38:45;2024-10-02T23:19:33;8576;20952;2024-10-03T06:35:45;10322;fooey without;questionably;15618;whoa;past vintage considering;blindly fast qua;25723.42;22871.83;2934.02;3480.95;masculine supposing aha;24040;2024-10-03T05:20:17;27687.19;30698.84;false;26180;but;participate meanwhile;193;bonk when although;3899.02;13859;sympathetically blah with;sister-in-law songbird;since nurture snowsuit;crossly for;true;6447;32625.82;28061.77;true;1766.48;23644;22046;false;2024-10-03T06:33:42;10476;false;which or;20304.47;27521.17;powerfully yawningly
4;predetermine unless thirsty;2024-10-02T08:17:57;2024-10-02T12:51:20;23617;19239;2024-10-02T20:27:28;26717;when sweet strut;rehome dignify;26980;greedy derail meaningfully;hybridisation impugn badly;peanut;12917.44;27480.19;2242.76;25915.41;pillow good athwart;16207;2024-10-02T20:09:51;3008.18;2632.1;true;4504;worth;with;12716;phew tattoo joyously;24643.28;32646;oof;massive;finally past slumber;highly complement;false;2212;9792.35;32166.02;false;11882.3;14358.02;4533;true;2024-10-02T14:30:57;24126;true;joyously cameo appropriate;21862.09;21606.99;despite crease
5;low;2024-10-03T00:32:48;2024-10-02T08:36:01;25330;30878;2024-10-03T06:26:22;15492;vivacious;yowza stamp;17558;moist really;yowza copying aboard;promptly impressionable;23631.76;27602.89;23698.94;14549.84;whoever hearten distributor;32547;2024-10-03T04:19:36;10947.3;30482.34;true;20470;scaly evenly ick;starchy times frightfully;15336;huzzah push polyp;26317.61;22923;retrace;digitize quarrelsomely entree;pfft;while;false;18396;31676.33;19472.48;false;16649.19;18741.39;16388;true;2024-10-02T17:31:54;17930;false;nippy while;1369.77;27716.76;obsess modulo
6;persevere spot rule;2024-10-02T14:09:03;2024-10-02T22:51:34;20049;28464;2024-10-03T06:09:34;9609;yippee;ameliorate;22196;knottily tomorrow;across;cautiously verbalize carjack;3059.35;20625.3;1323.58;646.31;joyfully sizzling;23422;2024-10-03T00:50:21;25557.43;2019.12;true;13706;woot excitedly tomorrow;onto lion;16032;almost;25490.07;13562;above;elastic cheesecake;now;before phooey;true;28080;31851.28;30431.1;true;6261.66;2900.56;13524;true;2024-10-02T20:13:18;17786;false;parse gently circa;11368.81;32381.42;gee apud times
7;ephemera;2024-10-02T18:29:14;2024-10-02T14:25:09;26031;18018;2024-10-02T12:39:25;11039;absent waylay;very;31390;flat;yet cautiously;kindheartedly thwack but;13528.71;8701.12;18361.68;28661.92;why gracefully hm;9230;2024-10-02T11:09:04;18633.37;22451.06;true;7504;provided comprehension;vegetation;10094;abnormally;30993.8;24359;upward likewise;lest;midst;stylus devil;false;20616;25673.87;12204.34;true;24827.63;29855.25;31803;true;2024-10-02T20:24:30;26677;true;journey eclipse;27793.26;15569.83;consequently label
8;through;2024-10-02T18:35:59;2024-10-02T12:47:36;5774;17462;2024-10-02T09:23:39;28064;confer atop;merrily snack loom;1137;rave limp;before amongst inborn;apt though aha;25985.69;13303.87;19628.96;2823.16;evangelize;31934;2024-10-02T08:03:09;7486.52;29480.94;false;1029;onto yowza;psst geez gel;11217;since save;12798.13;17719;excluding;thermostat;curtailment;midst internet;false;27288;18864.84;30841.11;false;27739.13;14088.6;32241;false;2024-10-03T00:36:26;15057;true;yet yahoo macro;29109.35;14689.35;original
9;zowie ordinary;2024-10-02T18:43:58;2024-10-03T01:30:22;23291;4684;2024-10-02T13:56:27;27094;reclaim sympathy qua;rearm since;23809;smoothly gah hm;including given gosh;truth;23368.71;9568.95;30620.3;8078.62;yippee mmm;28805;2024-10-03T01:23:39;7486.66;18381.63;true;2123;sideswipe defect brr;fearless;21593;interestingly;18954.36;1607;bank attached;pish respect;likewise abaft;whoever though yum;true;23726;3301.58;23924.81;false;23878.52;20635.3;18295;true;2024-10-02T14:14:32;28931;true;huzzah consumer;9746.09;30354.32;minus
10;brr never;2024-10-02T16:17:44;2024-10-02T18:43:39;26190;3004;2024-10-02T21:37:55;26465;rescue pish reorganise;thirst;28381;atop majestically;irritably marvelous excepting;rebel geez;11051.16;23305.73;2822.28;19888.12;worth after quixotic;20994;2024-10-02T19:13:23;5823.35;13796.92;true;15973;lest difference beating;zowie;23419;rigidly imperfect;13187.19;12943;kiddingly bah;stain;volcano honor now;till duh gosh;false;32365;5045.12;7059.97;true;9791.8;11326.84;16747;false;2024-10-02T15:23:03;8553;false;above;4280.65;31801.84;alongside
