id;code;orderdate;createddate;quoteid;salesrepid;salesrepname;delieverfrom;customerid;customername;customeraddress;deliveryaddress;subtotal;totaltax;totaldiscount;nettotal;message;isinvoiced;refinvoiceid;lmu;lmd;isfixed;isactive;advancepayment;advancepaymentreturnamount;advancepaymentreturndate;advancepaymentby
1;yum joyfully despite;2024-10-02T16:47:08;2024-10-02T08:29:20;17535;20377;mattock until wrongly;safely section;7739;while silently absent;past warmly;considering costly;31854.85;14042.01;23730.24;17474.12;only grizzle;false;30191;29985;2024-10-02T09:43:50;true;true;1572.31;25394.81;2024-10-02T23:27:11;26413
2;continent wary colorless;2024-10-02T11:00:49;2024-10-02T10:49:24;23567;32325;reference gosh;excepting;7393;woot as gah;how;where eminent er;32324.24;25901.34;5216.08;27009.35;knavishly only;false;29721;25580;2024-10-03T03:47:29;true;true;1380.12;18586.87;2024-10-02T23:34:46;24405
3;mask weird bacon;2024-10-03T02:23:48;2024-10-02T18:19:35;30205;17735;why yowza;provided;18359;commonly;so phooey aha;forenenst understate;21929.48;10451.39;31902.81;1166.81;stair pfft;true;13662;17936;2024-10-02T08:47:54;true;true;8827.95;25839.38;2024-10-03T03:35:26;32371
4;norm until;2024-10-02T16:38:27;2024-10-02T07:46:12;21907;16455;that next;burglarize bah;9626;disinter hence;near;well-informed muse fat;18699.39;20323.45;643.04;1544.88;meh phooey geez;false;15829;2870;2024-10-02T16:07:29;false;true;28077.59;18836.24;2024-10-03T02:12:31;22540
5;alphabetize;2024-10-03T01:52:58;2024-10-03T01:09:01;25050;9850;rove unwilling valiantly;whenever;3122;ouch;and aggravating bashfully;the vinyl barbecue;13121.98;29799.38;28265.23;9442.14;unnecessarily delightfully gracefully;false;1255;2152;2024-10-02T13:41:11;true;true;7281.26;27880.86;2024-10-02T15:03:04;7221
6;though cappelletti;2024-10-02T09:44:38;2024-10-02T13:38:54;24123;30668;microwave gadzooks anti;beyond;20645;lyocell underperform;reverse;certainly innocently uh-huh;2895.33;12557.32;6893.43;32011.35;eventually plus barn;false;32415;24633;2024-10-03T04:54:50;true;true;13271.4;21922.45;2024-10-03T00:46:30;28632
7;travel er;2024-10-02T15:23:10;2024-10-02T12:26:46;5254;10637;accomplished yet;pish;21477;definitive;safely violently;gah coordinate;24992.81;20653.75;6397.27;18716.77;until unexpectedly daring;true;21005;31509;2024-10-03T00:36:44;false;true;10475.55;3848.94;2024-10-02T15:27:58;12633
8;underneath crank;2024-10-02T14:09:22;2024-10-03T02:13:35;1039;22918;ick up;gosh ha;13095;quirkily if or;plus;hate jovially;14434.04;1684.34;18907.53;10766.73;double;true;4970;21505;2024-10-02T12:13:31;false;false;27415.22;24480;2024-10-02T09:05:13;21980
9;under;2024-10-02T22:14:11;2024-10-02T10:18:37;7755;32654;smoulder chilly bug;ick perfect by;23722;however;energetically buoyant;as considering gently;7434.05;29710.36;25714.92;18614.58;failing;false;12904;15564;2024-10-03T06:25:12;false;true;19258.07;32721.22;2024-10-03T03:30:10;10107
10;that nifty now;2024-10-02T20:30:23;2024-10-03T00:13:52;28080;13178;impish for appal;plus;23921;nightclub clarinet righteously;vice concerning because;firm whether;28816.21;9779.51;25394.57;20512.84;oh spherical dodge;false;20041;1034;2024-10-03T03:59:38;false;true;7624.12;30737.39;2024-10-02T07:27:37;32448
