id;jobid;vehicleid;customerid;customername;contactno;vehicleno;vehiclebrand;vehiclemodel;mileage;addeddate;iscalltocustomer;remarks;calldate;lmu;lmd
1;20564;1086;2190;gosh after openly;favorite straddle disorientate;silky;ack;as dump;hello basket vivaciously;2024-08-22T22:50:59;false;lopsided hence;2024-08-23T11:08:34;22979;2024-08-23T01:35:30
2;25123;26268;5613;charity;joyously organizing;oof but and;pine race needily;however without;amendment;2024-08-22T18:19:05;false;surroundings;2024-08-22T14:02:36;10880;2024-08-22T15:38:44
3;17426;16098;16620;grandson under;pish sluice ferry;phew potentially;plenty reconcile;tempting;starry yoke;2024-08-23T10:49:01;true;times well-made cheery;2024-08-22T18:00:52;13169;2024-08-23T04:12:05
4;20291;1144;15641;walrus supposing;surprised;worth throughout;courteous;anything;subtend;2024-08-23T08:30:51;true;trivial;2024-08-23T07:55:30;20742;2024-08-22T23:45:50
5;27180;21138;12321;depth;shyly out next;while gah;gadzooks;recklessly furiously;sponsorship;2024-08-22T15:58:03;true;grouse improbable who;2024-08-23T01:08:17;4278;2024-08-23T08:58:37
6;21556;28872;15211;supposing;wring;an;tunnel;who intentional digit;consequently;2024-08-22T18:01:36;false;boohoo longingly strive;2024-08-23T06:45:40;5012;2024-08-22T18:11:27
7;4799;13374;17862;fraudster consequently kiddingly;following frenetically;marketer evenly;um;bashfully;neck imaginary reckless;2024-08-22T18:15:03;false;turbulent finally;2024-08-23T06:36:56;14069;2024-08-22T21:40:32
8;28902;29176;1934;fatally er swath;while certainly zowie;yippee;wherever er cheap;beneath shyly god;safely whose yowza;2024-08-22T14:55:19;false;banner;2024-08-22T20:05:19;13823;2024-08-22T21:04:26
9;29683;30648;23156;yahoo yippee;until honestly;latency utilize;mechanically untimely;negligible;eventually respond worriedly;2024-08-22T18:43:59;true;yahoo though watchful;2024-08-22T14:07:23;2746;2024-08-23T09:52:48
10;13485;28808;16361;offshore;altruistic pfft whoever;armament;almanac;mechanically;humble temporize toward;2024-08-22T14:04:37;false;the tear;2024-08-22T23:29:04;1938;2024-08-23T09:12:10
